Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HY,AY,HR,AR,season_code,kickoff_local,besiktas_goals,opponent_goals,total_goals,kickoff_hour,time,temperature_2m,precipitation,rain,wind_speed_10m,rainy_match,heavy_rain_match
2015-08-22,19:00,Besiktas,Trabzonspor,1.0,2.0,A,,,,,,,,,,,1516,2015-08-22 19:00:00,1.0,2.0,3.0,2015-08-22 19:00:00,2015-08-22 19:00:00,25.0,0.0,0.0,30.2,0,0
2015-09-13,19:00,Besiktas,Buyuksehyr,2.0,0.0,H,,,,,,,,,,,1516,2015-09-13 19:00:00,2.0,0.0,2.0,2015-09-13 19:00:00,2015-09-13 19:00:00,22.0,0.0,0.0,24.7,0,0
2015-09-27,19:00,Besiktas,Fenerbahce,3.0,2.0,H,,,,,,,,,,,1516,2015-09-27 19:00:00,3.0,2.0,5.0,2015-09-27 19:00:00,2015-09-27 19:00:00,24.6,0.0,0.0,17.7,0,0
2015-10-18,19:00,Besiktas,Rizespor,1.0,0.0,H,,,,,,,,,,,1516,2015-10-18 19:00:00,1.0,0.0,1.0,2015-10-18 19:00:00,2015-10-18 19:00:00,17.5,0.0,0.0,12.5,0,0
2015-10-30,19:00,Besiktas,Kasimpasa,3.0,3.0,D,,,,,,,,,,,1516,2015-10-30 19:00:00,3.0,3.0,6.0,2015-10-30 19:00:00,2015-10-30 19:00:00,13.2,0.0,0.0,31.3,0,0
2015-11-22,19:00,Besiktas,Sivasspor,2.0,0.0,H,,,,,,,,,,,1516,2015-11-22 19:00:00,2.0,0.0,2.0,2015-11-22 19:00:00,2015-11-22 19:00:00,19.3,0.0,0.0,31.7,0,0
2015-11-29,19:00,Besiktas,Akhisar Belediyespor,0.0,2.0,A,,,,,,,,,,,1516,2015-11-29 19:00:00,0.0,2.0,2.0,2015-11-29 19:00:00,2015-11-29 19:00:00,10.3,0.0,0.0,4.5,0,0
2015-12-14,19:00,Besiktas,Galatasaray,2.0,1.0,H,,,,,,,,,,,1516,2015-12-14 19:00:00,2.0,1.0,3.0,2015-12-14 19:00:00,2015-12-14 19:00:00,8.0,0.0,0.0,10.6,0,0
2015-12-27,19:00,Besiktas,Konyaspor,4.0,0.0,H,,,,,,,,,,,1516,2015-12-27 19:00:00,4.0,0.0,4.0,2015-12-27 19:00:00,2015-12-27 19:00:00,11.0,0.0,0.0,0.8,0,0
2016-02-07,19:00,Besiktas,Gaziantepspor,4.0,0.0,H,,,,,,,,,,,1516,2016-02-07 19:00:00,4.0,0.0,4.0,2016-02-07 19:00:00,2016-02-07 19:00:00,5.0,0.0,0.0,17.6,0,0
2016-02-17,19:00,Besiktas,Mersin Idman Yurdu,1.0,0.0,H,,,,,,,,,,,1516,2016-02-17 19:00:00,1.0,0.0,1.0,2016-02-17 19:00:00,2016-02-17 19:00:00,11.0,0.0,0.0,16.9,0,0
